"","MUC9905","MUC9906","MUC9907","MUC9908","MUC9909","MUC9910","MUC9911","MUC9912","MUC9913","MUC9914","MUC9915","MUC9916","MUC9917","MUC9918","MUC9919","MUC9920","MUC9921","MUC9922","MUC9923","MUC9924","MUC9925","MUC9926","MUC9927","MUC9928","MUC9929","MUC9930","MUC9931","MUC9932","MUC9933","MUC9934","MUC9935","MUC9936","MUC9937","MUC9938","MUC9939","MUC9940"
"ENSMUSG00000036062",248.517674607897,194.735647681141,334.847443065822,119.349497232689,249.673222217672,224.234577533329,435.818717234723,3152.11947858899,3042.02157115629,1695.66899743371,1581.63120328474,127.010880505736,211.213315499116,72.1921774402114,181.088762602256,214.983842370768,190.188075351321,2468.37017945146,1791.62066043376,2102.84750512792,2671.79499443196,90.9669045303364,322.39072011499,385.54234512032,2608.48643955228,2674.09385279182,2268.29125602316,108.544884861719,109.792214460196,170.046914442549,186.502787435495,2956.30710974964,2476.28211094799,2211.10988934584,127.25171615869,137.323557705316
"ENSMUSG00000036067",91.7762366809247,65.4714677548663,45.9004360157643,40.3207760921248,40.4690112935238,29.8979436711106,44.6278366448356,211.512211051638,143.918609242038,87.7070171086401,174.474452902113,21.7732938009833,30.7592207037548,6.62989384655003,29.234060330409,46.0679662223074,21.7558314977525,92.0580681680668,62.3408096671355,72.9666985474989,60.2214109856092,34.5046879253,50.2083908375804,39.0752376811135,246.925113335432,200.527549613855,205.425509628996,12.4051296984822,10.1488601601862,28.0947076035515,34.5763594683783,139.120334576454,104.844768556069,78.5774544571846,1103.2600245603,1318.30615397103
"ENSMUSG00000036073",153.647856915256,123.388535384171,150.493232838571,139.509885278752,259.276038456813,279.30973692748,253.820820917503,344.686566158224,372.563496505597,357.324884516682,335.964760471976,142.433630281432,185.580631579321,122.284708725256,320.762606403098,255.632047861039,246.332156635843,678.801799349152,609.855746743717,749.886673024296,753.191731763675,153.702700758155,233.424974946646,296.103467761326,308.928335626708,283.097717101914,263.239874614401,192.279510326474,149.465031450015,252.113034021344,257.751043309729,611.549804075661,593.3997725493,756.929656226804,868.523849121935,917.016202009942
"ENSMUSG00000036078",906.419236432953,1058.45539537034,1036.89837425776,1166.07684458425,1086.49006591427,1003.94147695624,968.563517182448,609.076829972771,783.427913212705,916.05106757913,869.126228177503,1183.92285042847,1258.05212678357,1375.33464572321,1165.30212705936,1165.24855738778,1197.9743344085,803.231935444451,687.555886328843,503.733955032733,626.811587582608,1227.26901370669,1138.93770794722,1054.16307877493,688.562100182064,692.40983307843,709.76358716126,1265.32322924518,1440.21551909551,1100.12960300223,1119.01672461297,720.237565463515,669.060945734092,604.748003923649,0,1.52581730783684
"ENSMUSG00000036083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6373505499096,1.69637777424251,0,0,0,0,1.17957382125797,0,0,0,0,0,2.89834030367612,1.08087390263989,0,0,0
"ENSMUSG00000006488",0,0,0,0,0.685915445652946,2.36036397403504,0.697309947575556,0,0,0,0,0,0,0,4.06028615700125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.514274053215,338.731442339779
"ENSMUSG00000036086",779.582414952574,773.906323974189,684.7442094155,932.216343249925,650.933757924645,650.673668842327,460.224565399867,139.049694302465,148.561145024039,289.108315654406,367.613614719336,1355.38753911121,1300.08972841204,1432.79372572664,951.731075201092,937.618606642257,851.986433492632,201.313797422476,202.381758919397,298.020612139785,224.770055087133,851.638433792632,725.819544739759,527.081539387464,149.025288664997,113.239086840765,136.54030879532,1312.8762264227,1297.20885320198,896.073305671169,744.963381273241,179.697098827919,188.072059059341,300.384699317339,7038.37890248601,6300.09966405832
"ENSMUSG00000036087",4560.96960494078,4892.73314798866,4746.55656372855,4533.66806379851,4167.6222477873,4307.66425261396,4764.71887178378,5586.46835208145,5437.57003466892,5122.7394807528,5368.94409488549,4257.58615866727,4301.16436174172,4106.11425562998,3722.47034873874,4301.48343432604,3639.54006926918,4228.60137299472,4789.40046442733,4800.85711768544,4136.61720249036,4912.21284463816,4332.01519542492,4155.00027342506,4902.60566432949,4986.05854245745,5749.45408386781,4614.70824783538,4266.2117618819,3976.14046031316,3918.65407308287,4447.503195991,4893.11615725079,4432.16629191411,56.8308635271821,65.6101442369842
"ENSMUSG00000036091",32.99819745831,40.2901340029947,33.1085112244857,41.1271916139673,66.5337982283357,44.8469155066658,49.5090062778645,53.8572759622226,82.4050101305215,84.4586090675794,67.3552539110483,37.1960435766797,27.6832986333793,36.0960887201057,51.1596055782157,37.0350316689138,59.6530863648054,40.4650849090404,39.7535597877386,45.714076198433,39.0166888075778,32.1520955667568,44.0424481031407,56.4420099838306,78.3198597363486,62.5174125266726,62.7347364735256,40.3166715200672,24.9108385750025,40.6633925840877,28.2897486559459,42.0259344033037,54.0436951319945,47.7432634676565,12875.8969495716,10415.2289432943
"ENSMUSG00000036093",6976.02518142085,7268.17229858189,6716.51298158545,7342.41332637593,5223.93203409283,4793.89923126518,5158.69899216397,12315.6901777613,13232.387612649,4245.66930966639,6561.86244728599,7944.53057563377,8001.49861240342,8448.69472512025,6293.44354335193,5935.54129503495,5756.17193369569,10569.4801782413,8959.006792164,7770.51383688365,8154.48796078375,8155.65350961636,6105.16415605737,4676.00344250658,11805.6310794249,12183.8179997736,12976.2497070436,8324.87578848976,8228.88034260915,6602.2562868346,5512.30991403449,8224.04061168098,10694.1663927191,7059.04043395746,65.4790384117533,105.281394240742
